estacionID,fecha,nivel
CDRNL,2023-04-12T00:00:00,0.640
CPRNL,2023-04-12T00:00:00,266.820
PABNL,2023-04-12T00:00:00,0.880
PAMNL,2023-04-12T00:00:00,0.780
CSPOX,2023-04-12T00:00:00,0.720
DPSOX,2023-04-12T00:00:00,55.860
JACOX,2023-04-12T00:00:00,34.040
MAROX,2023-04-12T00:00:00,130.840
NARPB,2023-04-12T00:00:00,1.470
PAPOX,2023-04-12T00:00:00,5.460
STDOX,2023-04-12T00:00:00,0.880
UCFOX,2023-04-12T00:00:00,0.200
BAIPB,2023-04-12T00:00:00,0.700
STLPB,2023-04-12T00:00:00,4.460
TYAPB,2023-04-12T00:00:00,0.650
AJTSL,2023-04-12T00:00:00,3.570
BLMSL,2023-04-12T00:00:00,31.300
GANSL,2023-04-12T00:00:00,263.190
MICSL,2023-04-12T00:00:00,0.380
NRJSL,2023-04-12T00:00:00,0.350
PUJSL,2023-04-12T00:00:00,0.670
RQTSL,2023-04-12T00:00:00,2.740
STRSL,2023-04-12T00:00:00,0.500
SVTSL,2023-04-12T00:00:00,-1.140
TBLSL,2023-04-12T00:00:00,137.620
TMISL,2023-04-12T00:00:00,12.200
TMTSL,2023-04-12T00:00:00,112.510
ACTSI,2023-04-12T00:00:00,1.000
AL2SI,2023-04-12T00:00:00,1.740
BCBSI,2023-04-12T00:00:00,0.000
CHXSI,2023-04-12T00:00:00,0.000
GD2SI,2023-04-12T00:00:00,0.290
IXPSI,2023-04-12T00:00:00,2.150
JNASI,2023-04-12T00:00:00,3.360
LD2SI,2023-04-12T00:00:00,5.540
LDCSI,2023-04-12T00:00:00,235.750
QLTSI,2023-04-12T00:00:00,0.000
RAVSI,2023-04-12T00:00:00,0.000
RSRSI,2023-04-12T00:00:00,0.000
SCRSI,2023-04-12T00:00:00,1.600
SJNSI,2023-04-12T00:00:00,0.000
SN2SI,2023-04-12T00:00:00,1.720
SQRSI,2023-04-12T00:00:00,7.000
TORSI,2023-04-12T00:00:00,0.260
ZOPSI,2023-04-12T00:00:00,0.400
CZNSO,2023-04-12T00:00:00,0.000
BDCTB,2023-04-12T00:00:00,11.640
EMUTB,2023-04-12T00:00:00,0.530
EPOTB,2023-04-12T00:00:00,0.420
GABTB,2023-04-12T00:00:00,0.630
GONTB,2023-04-12T00:00:00,4.200
MACTB,2023-04-12T00:00:00,1.710
OXOTB,2023-04-12T00:00:00,34.000
PNVTB,2023-04-12T00:00:00,2.150
PUYTB,2023-04-12T00:00:00,25.110
SAMTB,2023-04-12T00:00:00,12.940
SJOCP,2023-04-12T00:00:00,19.780
TEATB,2023-04-12T00:00:00,33.630
ABSTP,2023-04-12T00:00:00,31.810
AHLTP,2023-04-12T00:00:00,3.880
BALTP,2023-04-12T00:00:00,0.660
BR1TP,2023-04-12T00:00:00,10.550
CORTP,2023-04-12T00:00:00,0.370
ENNTP,2023-04-12T00:00:00,1.090
ERCTP,2023-04-12T00:00:00,47.500
LSRTP,2023-04-12T00:00:00,1.120
MAGTP,2023-04-12T00:00:00,1.700
MGSTP,2023-04-12T00:00:00,20.310
PADTP,2023-04-12T00:00:00,142.040
PDMTP,2023-04-12T00:00:00,140.570
PILTP,2023-04-12T00:00:00,140.860
PJMTP,2023-04-12T00:00:00,433.670
PVLTP,2023-04-12T00:00:00,528.050
RFRTP,2023-04-12T00:00:00,1.530
RSPTP,2023-04-12T00:00:00,75.530
SBNTP,2023-04-12T00:00:00,1.170
SDATP,2023-04-12T00:00:00,42.640
SGBTP,2023-04-12T00:00:00,2.690
SLMTP,2023-04-12T00:00:00,2.100
SLZTP,2023-04-12T00:00:00,110.020
TMOTP,2023-04-12T00:00:00,98.340
TMPTP,2023-04-12T00:00:00,0.700
TMSTP,2023-04-12T00:00:00,0.300
VGRTP,2023-04-12T00:00:00,127.080
HMTTL,2023-04-12T00:00:00,0.000
TLXTL,2023-04-12T00:00:00,0.100
ACTVC,2023-04-12T00:00:00,181.360
AGDVC,2023-04-12T00:00:00,2.300
ARCVC,2023-04-12T00:00:00,14.120
CCLVC,2023-04-12T00:00:00,1.690
CHMVC,2023-04-12T00:00:00,0.580
CHYVC,2023-04-12T00:00:00,20.420
CTTVC,2023-04-12T00:00:00,8.810
ENRVC,2023-04-12T00:00:00,4.210
GARVC,2023-04-12T00:00:00,4.560
HGOVC,2023-04-12T00:00:00,7.120
IDOVC,2023-04-12T00:00:00,84.530
JCRVC,2023-04-12T00:00:00,1.500
JDCVC,2023-04-12T00:00:00,2.980
LCEVC,2023-04-12T00:00:00,4.000
LIBVC,2023-04-12T00:00:00,47.980
LPEVC,2023-04-12T00:00:00,2.980
MDTVC,2023-04-12T00:00:00,58.540
MNZVC,2023-04-12T00:00:00,0.530
OLVVC,2023-04-12T00:00:00,6.600
PNCVC,2023-04-12T00:00:00,0.060
PRCVC,2023-04-12T00:00:00,38.750
PSNVC,2023-04-12T00:00:00,0.710
PTGVC,2023-04-12T00:00:00,104.940
SBTVC,2023-04-12T00:00:00,37.760
TMOVC,2023-04-12T00:00:00,2.600
TMPVC,2023-04-12T00:00:00,1.300
TOMVC,2023-04-12T00:00:00,1.170
TRRVC,2023-04-12T00:00:00,87.220
VAZVC,2023-04-12T00:00:00,10.300
B24215,2023-04-12T00:00:00,0.820
LMIGJ,2023-04-12T00:00:00,1.150
LMDGJ,2023-04-12T00:00:00,1.780
RSSMX,2023-04-12T00:00:00,0.820


